"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"15 - 16 heures";"25,75%";17;74,46;28
;;;;;"16 - 17 heures";"11,38%";12;46,63;13
;;;;;"17 - 18 heures";"14,04%";16;43,16;18
;;;;;"18 - 19 heures";"14,66%";12;60,08;17
;;;;;"19 - 20 heures";"4,37%";7;30,69;12
;;;;;"20 - 21 heures";"1,29%";1;63,5;1
;;"25 Janvier 2016";"25/01/2016";"Total";;"100,00%";"--";"--";79
;;;;"Lundi";"Total";"100,00%";"--";"--";79
;;;;;"9 - 10 heures";"1,11%";1;29,5;1
;;;;;"10 - 11 heures";"2,68%";2;35,58;4
;;;;;"11 - 12 heures";"4,70%";3;41,63;5
;;;;;"12 - 13 heures";"19,97%";5;106,04;8
;;;;;"13 - 14 heures";"11,18%";6;49,5;13
;;;;;"14 - 15 heures";"4,06%";4;26,98;6
;;;;;"15 - 16 heures";"14,14%";5;75,08;6
;;;;;"16 - 17 heures";"19,25%";9;56,8;13
;;;;;"17 - 18 heures";"18,98%";6;84;18
;;;;;"18 - 19 heures";"3,93%";2;52,15;5
;;"26 Janvier 2016";"26/01/2016";"Total";;"100,00%";"--";"--";62
;;;;"Mardi";"Total";"100,00%";"--";"--";62
;;;;;"9 - 10 heures";"4,80%";1;94,5;1
;;;;;"10 - 11 heures";"5,25%";2;51,7;4
;;;;;"11 - 12 heures";"10,97%";3;71,97;3
;;;;;"12 - 13 heures";"2,76%";2;27,18;5
;;;;;"13 - 14 heures";"2,92%";2;28,7;2
;;;;;"14 - 15 heures";"10,78%";4;53,08;6
;;;;;"15 - 16 heures";"22,46%";9;49,12;17
;;;;;"16 - 17 heures";"15,85%";5;62,4;8
;;;;;"17 - 18 heures";"13,56%";5;53,38;10
;;;;;"18 - 19 heures";"10,66%";4;52,48;6
;;"27 Janvier 2016";"27/01/2016";"Total";;"100,00%";"--";"--";45
;;;;"Mercredi";"Total";"100,00%";"--";"--";45
;;;;;"10 - 11 heures";"5,22%";2;40,6;4
;;;;;"11 - 12 heures";"9,97%";4;38,75;4
;;;;;"12 - 13 heures";"4,28%";1;66,5;1
;;;;;"13 - 14 heures";"11,03%";3;57,17;3
;;;;;"14 - 15 heures";"16,83%";6;43,62;13
;;;;;"15 - 16 heures";"27,07%";9;46,78;10
;;;;;"16 - 17 heures";"12,62%";3;65,4;3
;;;;;"17 - 18 heures";"1,29%";1;20;1
;;;;;"18 - 19 heures";"1,58%";1;24,6;1
;;;;;"19 - 20 heures";"3,18%";2;24,75;2
;;;;;"20 - 21 heures";"6,94%";2;54;3
;;"28 Janvier 2016";"28/01/2016";"Total";;"100,00%";"--";"--";76
;;;;"Jeudi";"Total";"100,00%";"--";"--";76
;;;;;"10 - 11 heures";"1,81%";1;46;4
;;;;;"11 - 12 heures";"7,72%";3;65,5;3
;;;;;"12 - 13 heures";"7,58%";4;48,26;6
;;;;;"13 - 14 heures";"22,47%";11;51,99;15
;;;;;"14 - 15 heures";"8,64%";6;36,65;10
;;;;;"15 - 16 heures";"16,83%";8;53,55;10
;;;;;"16 - 17 heures";"6,32%";4;40,23;5
;;;;;"17 - 18 heures";"21,10%";7;76,7;16
;;;;;"18 - 19 heures";"1,12%";1;28,5;1
;;;;;"19 - 20 heures";"6,05%";4;38,48;5
;;;;;"20 - 21 heures";"0,36%";1;9,2;1
;;"29 Janvier 2016";"29/01/2016";"Total";;"100,00%";"--";"--";79
;;;;"Vendredi";"Total";"100,00%";"--";"--";79
;;;;;"9 - 10 heures";"0,59%";1;14,2;1
;;;;;"10 - 11 heures";"2,21%";1;53;2
;;;;;"11 - 12 heures";"13,07%";4;78,4;9
;;;;;"12 - 13 heures";"15,46%";4;92,75;7
;;;;;"13 - 14 heures";"7,20%";5;34,58;6
;;;;;"14 - 15 heures";"8,26%";3;66,07;10
;;;;;"15 - 16 heures";"10,01%";9;26,68;11
;;;;;"16 - 17 heures";"4,75%";3;38,03;5
;;;;;"17 - 18 heures";"19,36%";8;58,08;14
;;;;;"18 - 19 heures";"15,08%";6;60,33;11
;;;;;"19 - 20 heures";"3,33%";2;40;2
;;;;;"20 - 21 heures";"0,67%";1;16;1
;;"30 Janvier 2016";"30/01/2016";"Total";;"100,00%";"--";"--";121
;;;;"Samedi";"Total";"100,00%";"--";"--";121
;;;;;"10 - 11 heures";"2,11%";2;45,5;3
;;;;;"11 - 12 heures";"13,55%";8;73,02;16
;;;;;"12 - 13 heures";"4,26%";6;30,62;8
;;;;;"13 - 14 heures";"5,78%";5;49,83;7
;;;;;"14 - 15 heures";"6,26%";5;53,97;5
;;;;;"15 - 16 heures";"15,81%";13;52,43;16
;;;;;"16 - 17 heures";"19,22%";15;55,22;24
;;;;;"17 - 18 heures";"14,08%";11;55,16;14
;;;;;"18 - 19 heures";"10,33%";11;40,46;13
;;;;;"19 - 20 heures";"8,60%";8;46,33;15
;;"01 Février 2016";"01/02/2016";"Total";;"100,00%";"--";"--";38
;;;;"Lundi";"Total";"100,00%";"--";"--";38
;;;;;"9 - 10 heures";"12,20%";1;160,5;5
;;;;;"10 - 11 heures";"0,36%";1;4,8;2
;;;;;"11 - 12 heures";"10,35%";3;45,4;3
;;;;;"13 - 14 heures";"9,16%";3;40,17;3
;;;;;"14 - 15 heures";"33,45%";6;73,38;11
;;;;;"15 - 16 heures";"12,54%";4;41,25;4
;;;;;"16 - 17 heures";"6,49%";3;28,47;3
;;;;;"17 - 18 heures";"8,92%";3;39,13;3
;;;;;"19 - 20 heures";"6,53%";2;43;4
;;"02 Février 2016";"02/02/2016";"Total";;"100,00%";"--";"--";43
;;;;"Mardi";"Total";"100,00%";"--";"--";43
;;;;;"10 - 11 heures";"0,49%";1;9,4;1
;;;;;"11 - 12 heures";"47,42%";6;150,8;11
;;;;;"12 - 13 heures";"3,04%";2;29;2
;;;;;"13 - 14 heures";"3,82%";2;36,45;4
;;;;;"14 - 15 heures";"14,86%";5;56,7;6
;;;;;"15 - 16 heures";"5,78%";2;55,15;4
;;;;;"16 - 17 heures";"9,98%";3;63,5;5
;;;;;"17 - 18 heures";"3,18%";3;20,25;3
;;;;;"18 - 19 heures";"8,75%";4;41,75;5
;;;;;"19 - 20 heures";"1,83%";1;35;1
;;;;;"20 - 21 heures";"0,83%";1;15,9;1
;;"03 Février 2016";"03/02/2016";"Total";;"100,00%";"--";"--";63
;;;;"Mercredi";"Total";"100,00%";"--";"--";63
;;;;;"10 - 11 heures";"12,44%";4;60,88;8
;;;;;"11 - 12 heures";"3,74%";3;24,37;3
;;;;;"12 - 13 heures";"9,80%";4;47,95;7
;;;;;"13 - 14 heures";"16,99%";4;83,1;8
;;;;;"14 - 15 heures";"2,30%";2;22,5;2
;;;;;"15 - 16 heures";"6,14%";3;40,07;6
;;;;;"16 - 17 heures";"5,76%";4;28,18;5
;;;;;"17 - 18 heures";"27,64%";7;77,27;14
;;;;;"18 - 19 heures";"5,50%";2;53,83;4
;;;;;"19 - 20 heures";"9,68%";2;94,75;6
;;"04 Février 2016";"04/02/2016";"Total";;"100,00%";"--";"--";66
;;;;"Jeudi";"Total";"100,00%";"--";"--";66
