"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"14 - 15 heures";"6,67%";12;147,99;24
;;;;;"15 - 16 heures";"11,03%";25;117,56;33
;;;;;"16 - 17 heures";"13,70%";30;121,65;42
;;;;;"17 - 18 heures";"14,77%";33;119,28;43
;;;;;"18 - 19 heures";"10,20%";19;143,07;29
;;;;;"19 - 20 heures";"9,82%";14;186,93;25
;;;;;"20 - 21 heures";"0,37%";1;99;1
;;"02 Mai 2016";"02/05/2016";"Total";;"100,00%";"--";"--";129
;;;;"Lundi";"Total";"100,00%";"--";"--";129
;;;;;"10 - 11 heures";"6,79%";5;131,8;6
;;;;;"11 - 12 heures";"8,99%";8;109,06;13
;;;;;"12 - 13 heures";"7,62%";8;92,44;10
;;;;;"13 - 14 heures";"27,88%";15;180,5;28
;;;;;"14 - 15 heures";"3,09%";4;75;4
;;;;;"15 - 16 heures";"2,83%";4;68,75;4
;;;;;"16 - 17 heures";"6,19%";6;100,17;8
;;;;;"17 - 18 heures";"13,62%";11;120,27;19
;;;;;"18 - 19 heures";"13,41%";14;93;21
;;;;;"19 - 20 heures";"6,02%";8;73,13;13
;;;;;"20 - 21 heures";"3,56%";2;172,75;3
;;"03 Mai 2016";"03/05/2016";"Total";;"100,00%";"--";"--";99
;;;;"Mardi";"Total";"100,00%";"--";"--";99
;;;;;"11 - 12 heures";"2,70%";3;81,67;3
;;;;;"12 - 13 heures";"11,87%";10;107,69;15
;;;;;"13 - 14 heures";"5,72%";6;86,5;6
;;;;;"14 - 15 heures";"8,72%";4;197,88;11
;;;;;"15 - 16 heures";"15,65%";10;142;12
;;;;;"16 - 17 heures";"23,51%";12;177,75;17
;;;;;"17 - 18 heures";"13,01%";8;147,56;15
;;;;;"18 - 19 heures";"11,21%";7;145,28;11
;;;;;"19 - 20 heures";"6,14%";6;92,83;7
;;;;;"20 - 21 heures";"1,48%";1;134;2
;;"04 Mai 2016";"04/05/2016";"Total";;"100,00%";"--";"--";110
;;;;"Mercredi";"Total";"100,00%";"--";"--";110
;;;;;"10 - 11 heures";"15,45%";6;250;9
;;;;;"11 - 12 heures";"7,26%";5;141;8
;;;;;"12 - 13 heures";"8,07%";7;111,86;7
;;;;;"13 - 14 heures";"15,21%";11;134,27;16
;;;;;"14 - 15 heures";"14,39%";8;174,62;12
;;;;;"15 - 16 heures";"3,94%";8;47,8;8
;;;;;"16 - 17 heures";"11,78%";9;127,11;20
;;;;;"17 - 18 heures";"8,12%";7;112,64;10
;;;;;"18 - 19 heures";"2,92%";6;47,33;9
;;;;;"19 - 20 heures";"10,73%";8;130,25;9
;;;;;"20 - 21 heures";"2,11%";2;102,5;2
;;"05 Mai 2016";"05/05/2016";"Total";;"100,00%";"--";"--";104
;;;;"Jeudi";"Total";"100,00%";"--";"--";104
;;;;;"10 - 11 heures";"-0,54%";-1;49,99;-1
;;;;;"11 - 12 heures";"14,39%";9;147,11;16
;;;;;"12 - 13 heures";"9,64%";5;177,4;9
;;;;;"13 - 14 heures";"1,81%";3;55,67;3
;;;;;"14 - 15 heures";"8,73%";5;160,6;5
;;;;;"15 - 16 heures";"18,39%";12;141;18
;;;;;"16 - 17 heures";"26,81%";17;145,11;33
;;;;;"17 - 18 heures";"13,31%";10;122,5;15
;;;;;"18 - 19 heures";"7,48%";5;137,6;6
;;"06 Mai 2016";"06/05/2016";"Total";;"100,00%";"--";"--";178
;;;;"Vendredi";"Total";"100,00%";"--";"--";178
;;;;;"9 - 10 heures";"0,51%";1;79;1
;;;;;"10 - 11 heures";"3,09%";3;160,67;5
;;;;;"11 - 12 heures";"8,87%";10;138,44;16
;;;;;"12 - 13 heures";"7,02%";9;121,78;12
;;;;;"13 - 14 heures";"8,17%";10;127,5;15
;;;;;"14 - 15 heures";"11,69%";13;140,34;21
;;;;;"15 - 16 heures";"11,78%";18;102,17;24
;;;;;"16 - 17 heures";"18,55%";19;152,39;28
;;;;;"17 - 18 heures";"11,12%";20;86,78;26
;;;;;"18 - 19 heures";"10,25%";15;106,6;17
;;;;;"19 - 20 heures";"7,82%";7;174,28;11
;;;;;"20 - 21 heures";"1,12%";1;175;2
;;"07 Mai 2016";"07/05/2016";"Total";;"100,00%";"--";"--";200
;;;;"Samedi";"Total";"100,00%";"--";"--";200
;;;;;"9 - 10 heures";"1,00%";2;99;2
;;;;;"10 - 11 heures";"4,04%";6;133,33;9
;;;;;"11 - 12 heures";"4,99%";9;109,67;16
;;;;;"12 - 13 heures";"13,34%";12;220;22
;;;;;"13 - 14 heures";"5,23%";8;129,25;13
;;;;;"14 - 15 heures";"5,67%";6;187,08;9
;;;;;"15 - 16 heures";"9,34%";13;142,23;21
;;;;;"16 - 17 heures";"14,41%";24;118,83;30
;;;;;"17 - 18 heures";"24,62%";17;286,59;34
;;;;;"18 - 19 heures";"12,43%";17;144,68;30
;;;;;"19 - 20 heures";"4,93%";7;139,28;14
;;"09 Mai 2016";"09/05/2016";"Total";;"100,00%";"--";"--";146
;;;;"Lundi";"Total";"100,00%";"--";"--";146
;;;;;"10 - 11 heures";"4,67%";5;125,4;6
;;;;;"11 - 12 heures";"8,85%";7;169,79;18
;;;;;"12 - 13 heures";"11,73%";11;143,32;17
;;;;;"13 - 14 heures";"10,12%";9;151,05;12
;;;;;"14 - 15 heures";"3,83%";10;51,45;13
;;;;;"15 - 16 heures";"19,10%";12;213,81;21
;;;;;"16 - 17 heures";"11,01%";10;147,9;14
;;;;;"17 - 18 heures";"18,52%";9;276,44;20
;;;;;"18 - 19 heures";"9,18%";11;112,09;21
;;;;;"19 - 20 heures";"3,00%";4;100,75;4
;;"10 Mai 2016";"10/05/2016";"Total";;"100,00%";"--";"--";98
;;;;"Mardi";"Total";"100,00%";"--";"--";98
;;;;;"10 - 11 heures";"7,91%";3;241;9
;;;;;"11 - 12 heures";"5,54%";4;126,5;10
;;;;;"12 - 13 heures";"3,71%";5;67,8;6
;;;;;"13 - 14 heures";"19,46%";5;355,6;13
;;;;;"14 - 15 heures";"11,50%";6;175,08;11
;;;;;"15 - 16 heures";"13,26%";7;173,13;12
;;;;;"16 - 17 heures";"9,89%";5;180,8;9
;;;;;"17 - 18 heures";"7,58%";10;69,25;11
;;;;;"18 - 19 heures";"10,27%";7;134;11
;;;;;"19 - 20 heures";"9,63%";3;293,3;5
;;;;;"20 - 21 heures";"1,26%";1;115;1
;;"11 Mai 2016";"11/05/2016";"Total";;"100,00%";"--";"--";265
;;;;"Mercredi";"Total";"100,00%";"--";"--";265
;;;;;"9 - 10 heures";"1,62%";5;71,86;5
;;;;;"10 - 11 heures";"7,11%";13;121,2;25
;;;;;"11 - 12 heures";"7,63%";8;211,3;18
;;;;;"12 - 13 heures";"11,86%";14;187,64;32
;;;;;"13 - 14 heures";"5,00%";12;92,35;15
;;;;;"14 - 15 heures";"6,20%";14;98,07;21
;;;;;"15 - 16 heures";"11,75%";19;136,97;29
;;;;;"16 - 17 heures";"10,96%";19;127,78;29
;;;;;"17 - 18 heures";"20,42%";26;173,94;46
;;;;;"18 - 19 heures";"12,23%";22;123,18;29
;;;;;"19 - 20 heures";"5,22%";12;96,29;16
;;"12 Mai 2016";"12/05/2016";"Total";;"100,00%";"--";"--";252
;;;;"Jeudi";"Total";"100,00%";"--";"--";252
;;;;;"9 - 10 heures";"0,70%";1;140;1
;;;;;"10 - 11 heures";"5,92%";7;168,54;12
;;;;;"11 - 12 heures";"6,36%";14;90,5;25
;;;;;"12 - 13 heures";"10,89%";21;103,28;39
;;;;;"13 - 14 heures";"5,26%";10;104,79;16
;;;;;"14 - 15 heures";"9,67%";17;113,34;23
;;;;;"15 - 16 heures";"10,98%";15;145,82;26
;;;;;"16 - 17 heures";"14,82%";25;118,13;36
;;;;;"17 - 18 heures";"12,79%";17;149,88;29
;;;;;"18 - 19 heures";"13,97%";21;132,53;30
;;;;;"19 - 20 heures";"8,64%";8;215,27;15
;;"13 Mai 2016";"13/05/2016";"Total";;"100,00%";"--";"--";289
;;;;"Vendredi";"Total";"100,00%";"--";"--";289
;;;;;"10 - 11 heures";"3,04%";5;152,46;4
;;;;;"11 - 12 heures";"9,59%";18;133,41;31
;;;;;"12 - 13 heures";"8,24%";22;93,87;35
;;;;;"13 - 14 heures";"9,96%";14;178,24;26
;;;;;"14 - 15 heures";"8,21%";16;128,48;29
;;;;;"15 - 16 heures";"20,00%";24;208,73;49
;;;;;"16 - 17 heures";"12,98%";26;125,11;41
;;;;;"17 - 18 heures";"6,72%";16;105,18;19
;;;;;"18 - 19 heures";"8,40%";15;140,35;27
;;;;;"19 - 20 heures";"9,02%";16;141,27;21
;;;;;"20 - 21 heures";"3,84%";2;480,5;7
;;"14 Mai 2016";"14/05/2016";"Total";;"100,00%";"--";"--";594
;;;;"Samedi";"Total";"100,00%";"--";"--";594
;;;;;"9 - 10 heures";"0,54%";4;70,63;7
;;;;;"10 - 11 heures";"2,33%";11;111,39;14
;;;;;"11 - 12 heures";"6,83%";21;170,9;41
;;;;;"12 - 13 heures";"12,38%";33;197,2;61
;;;;;"13 - 14 heures";"8,13%";21;203,52;52
;;;;;"14 - 15 heures";"7,95%";32;130,6;48
;;;;;"15 - 16 heures";"12,55%";55;119,93;86
;;;;;"16 - 17 heures";"14,36%";53;142,44;76
;;;;;"17 - 18 heures";"18,50%";59;164,81;115
;;;;;"18 - 19 heures";"8,48%";33;135,1;55
;;;;;"19 - 20 heures";"7,55%";23;172,45;37
;;;;;"20 - 21 heures";"0,41%";1;216;2
;;"16 Mai 2016";"16/05/2016";"Total";;"100,00%";"--";"--";256
;;;;"Lundi";"Total";"100,00%";"--";"--";256
;;;;;"10 - 11 heures";"3,69%";7;125,17;10
;;;;;"11 - 12 heures";"9,62%";9;253,61;20
;;;;;"12 - 13 heures";"13,54%";20;160,73;39
;;;;;"13 - 14 heures";"6,70%";11;144,66;18
;;;;;"14 - 15 heures";"10,81%";20;128,29;33
;;;;;"15 - 16 heures";"13,62%";20;161,64;32
;;;;;"16 - 17 heures";"10,36%";19;129,45;35
;;;;;"17 - 18 heures";"18,68%";20;221,71;42
;;;;;"18 - 19 heures";"12,97%";13;236,76;27
;;"17 Mai 2016";"17/05/2016";"Total";;"100,00%";"--";"--";84
;;;;"Mardi";"Total";"100,00%";"--";"--";84
;;;;;"9 - 10 heures";"0,98%";1;69;1
;;;;;"10 - 11 heures";"5,49%";3;129;3
;;;;;"11 - 12 heures";"19,78%";11;126,82;14
;;;;;"12 - 13 heures";"11,32%";7;114,01;9
;;;;;"13 - 14 heures";"7,05%";1;497;4
;;;;;"14 - 15 heures";"2,10%";2;74;3
;;;;;"16 - 17 heures";"16,61%";12;97,65;16
;;;;;"17 - 18 heures";"14,41%";5;203,31;13
;;;;;"18 - 19 heures";"8,68%";6;101,98;7
;;;;;"19 - 20 heures";"11,00%";7;110,88;13
;;;;;"20 - 21 heures";"2,59%";1;182,5;1
;;"18 Mai 2016";"18/05/2016";"Total";;"100,00%";"--";"--";215
;;;;"Mercredi";"Total";"100,00%";"--";"--";215
;;;;;"9 - 10 heures";"0,40%";0;;0
;;;;;"10 - 11 heures";"2,46%";4;104,75;5
;;;;;"11 - 12 heures";"10,53%";9;199,22;16
;;;;;"12 - 13 heures";"-1,08%";1;-183,99;1
;;;;;"13 - 14 heures";"8,16%";12;115,71;21
;;;;;"14 - 15 heures";"7,18%";15;81,45;23
;;;;;"15 - 16 heures";"24,67%";22;190,9;42
;;;;;"16 - 17 heures";"10,85%";13;142,01;26
;;;;;"17 - 18 heures";"17,86%";23;132,18;35
;;;;;"18 - 19 heures";"10,46%";14;127,2;14
;;;;;"19 - 20 heures";"7,95%";12;112,79;31
;;;;;"20 - 21 heures";"0,56%";1;94,5;1
;;"19 Mai 2016";"19/05/2016";"Total";;"100,00%";"--";"--";148
;;;;"Jeudi";"Total";"100,00%";"--";"--";148
;;;;;"9 - 10 heures";"4,98%";3;203,67;5
;;;;;"10 - 11 heures";"3,59%";4;109,95;6
;;;;;"11 - 12 heures";"3,08%";3;125,83;6
;;;;;"12 - 13 heures";"2,94%";5;72;5
;;;;;"13 - 14 heures";"9,86%";9;134,29;14
;;;;;"14 - 15 heures";"5,02%";10;61,57;11
;;;;;"15 - 16 heures";"10,21%";7;178,8;15
;;;;;"16 - 17 heures";"15,26%";14;133,57;22
;;;;;"17 - 18 heures";"19,02%";15;155,42;25
;;;;;"18 - 19 heures";"16,70%";17;120,39;25
;;;;;"19 - 20 heures";"5,17%";5;126,82;9
;;;;;"20 - 21 heures";"4,17%";3;170,17;5
;;"20 Mai 2016";"20/05/2016";"Total";;"100,00%";"--";"--";152
;;;;"Vendredi";"Total";"100,00%";"--";"--";152
;;;;;"10 - 11 heures";"8,87%";8;129,72;13
;;;;;"11 - 12 heures";"0,32%";4;9,25;3
;;;;;"12 - 13 heures";"17,86%";13;160,83;26
;;;;;"13 - 14 heures";"5,66%";8;82,88;11
;;;;;"14 - 15 heures";"3,83%";4;112,07;7
;;;;;"15 - 16 heures";"9,79%";10;114,58;15
;;;;;"16 - 17 heures";"15,23%";19;93,85;21
;;;;;"17 - 18 heures";"8,99%";12;87,66;22
;;;;;"18 - 19 heures";"9,18%";8;134,35;11
;;;;;"19 - 20 heures";"16,76%";8;245,14;19
;;;;;"20 - 21 heures";"3,51%";4;102,75;4
;;"21 Mai 2016";"21/05/2016";"Total";;"100,00%";"--";"--";356
;;;;"Samedi";"Total";"100,00%";"--";"--";356
;;;;;"9 - 10 heures";"2,16%";3;190,13;6
;;;;;"10 - 11 heures";"8,33%";12;183,33;22
;;;;;"11 - 12 heures";"9,64%";22;115,61;40
;;;;;"12 - 13 heures";"15,21%";22;182,44;55
;;;;;"13 - 14 heures";"3,91%";7;147,56;14
;;;;;"14 - 15 heures";"5,91%";14;111,37;24
;;;;;"15 - 16 heures";"10,54%";35;79,47;48
;;;;;"16 - 17 heures";"15,21%";33;121,66;51
;;;;;"17 - 18 heures";"10,47%";26;106,3;39
;;;;;"18 - 19 heures";"7,72%";18;113,19;23
;;;;;"19 - 20 heures";"10,91%";20;143,94;34
;;"23 Mai 2016";"23/05/2016";"Total";;"100,00%";"--";"--";93
;;;;"Lundi";"Total";"100,00%";"--";"--";93
;;;;;"9 - 10 heures";"0,52%";1;40;1
;;;;;"10 - 11 heures";"1,76%";1;135,99;2
;;;;;"11 - 12 heures";"8,20%";4;158;8
;;;;;"12 - 13 heures";"6,01%";4;115,88;7
;;;;;"13 - 14 heures";"4,79%";4;92,25;5
;;;;;"14 - 15 heures";"0,39%";2;14,85;0
;;;;;"15 - 16 heures";"15,22%";10;117,3;18
;;;;;"16 - 17 heures";"23,54%";12;151,25;16
;;;;;"17 - 18 heures";"2,14%";3;55;3
;;;;;"18 - 19 heures";"21,61%";14;119;20
;;;;;"19 - 20 heures";"15,82%";10;122;13
;;"24 Mai 2016";"24/05/2016";"Total";;"100,00%";"--";"--";77
;;;;"Mardi";"Total";"100,00%";"--";"--";77
;;;;;"10 - 11 heures";"0,51%";1;40;1
;;;;;"11 - 12 heures";"2,10%";3;54,65;4
;;;;;"12 - 13 heures";"9,13%";5;142,6;6
;;;;;"13 - 14 heures";"16,67%";4;325,5;8
;;;;;"14 - 15 heures";"12,23%";9;106,1;12
;;;;;"15 - 16 heures";"4,37%";5;68,2;5
;;;;;"16 - 17 heures";"12,81%";4;250,25;6
;;;;;"17 - 18 heures";"21,40%";5;334,3;13
;;;;;"18 - 19 heures";"12,12%";6;157,75;14
;;;;;"19 - 20 heures";"8,67%";5;135,5;8
;;"25 Mai 2016";"25/05/2016";"Total";;"100,00%";"--";"--";80
;;;;"Mercredi";"Total";"100,00%";"--";"--";80
;;;;;"10 - 11 heures";"25,30%";7;295,14;10
;;;;;"11 - 12 heures";"26,68%";10;217,9;20
;;;;;"12 - 13 heures";"4,72%";3;128,5;8
;;;;;"13 - 14 heures";"4,17%";3;113,5;4
;;;;;"14 - 15 heures";"1,09%";1;89;1
;;;;;"15 - 16 heures";"2,63%";5;43,01;6
;;;;;"16 - 17 heures";"11,56%";8;118;11
;;;;;"17 - 18 heures";"11,45%";9;103,89;9
;;;;;"18 - 19 heures";"7,43%";3;202,33;6
;;;;;"19 - 20 heures";"4,98%";4;101,63;5
;;"26 Mai 2016";"26/05/2016";"Total";;"100,00%";"--";"--";86
;;;;"Jeudi";"Total";"100,00%";"--";"--";86
;;;;;"10 - 11 heures";"1,41%";2;41,5;2
;;;;;"11 - 12 heures";"25,32%";6;249,28;18
;;;;;"12 - 13 heures";"7,52%";6;74,08;8
;;;;;"13 - 14 heures";"34,64%";13;157,38;26
;;;;;"14 - 15 heures";"5,76%";4;85;5
;;;;;"15 - 16 heures";"1,42%";2;42;4
;;;;;"16 - 17 heures";"7,35%";6;72,33;9
;;;;;"17 - 18 heures";"2,71%";2;80;3
;;;;;"18 - 19 heures";"5,99%";3;118;4
;;;;;"19 - 20 heures";"4,18%";2;123,5;5
;;;;;"20 - 21 heures";"3,71%";1;219;2
;;"27 Mai 2016";"27/05/2016";"Total";;"100,00%";"--";"--";140
;;;;"Vendredi";"Total";"100,00%";"--";"--";140
;;;;;"9 - 10 heures";"0,29%";1;35;1
;;;;;"10 - 11 heures";"5,83%";6;118,66;8
;;;;;"11 - 12 heures";"4,06%";5;99,2;7
;;;;;"12 - 13 heures";"6,92%";8;105,74;15
;;;;;"13 - 14 heures";"8,99%";3;366,32;9
;;;;;"14 - 15 heures";"1,60%";4;49;4
;;;;;"15 - 16 heures";"12,89%";11;143,23;21
;;;;;"16 - 17 heures";"13,89%";12;141,42;21
;;;;;"17 - 18 heures";"12,42%";10;151,8;17
;;;;;"18 - 19 heures";"13,18%";8;201,38;13
;;;;;"19 - 20 heures";"19,02%";14;166,04;24
;;;;;"20 - 21 heures";"0,91%";0;;0
;;"28 Mai 2016";"28/05/2016";"Total";;"100,00%";"--";"--";282
;;;;"Samedi";"Total";"100,00%";"--";"--";282
;;;;;"9 - 10 heures";"2,17%";4;148,5;5
;;;;;"10 - 11 heures";"3,73%";10;102,3;13
;;;;;"11 - 12 heures";"8,02%";12;183,13;18
;;;;;"12 - 13 heures";"8,45%";13;178,11;28
;;;;;"13 - 14 heures";"10,22%";21;133,38;32
;;;;;"14 - 15 heures";"7,66%";14;149,93;21
;;;;;"15 - 16 heures";"14,43%";24;164,71;42
;;;;;"16 - 17 heures";"12,16%";25;133,24;41
;;;;;"17 - 18 heures";"16,05%";21;209,43;37
;;;;;"18 - 19 heures";"8,74%";14;171,05;20
;;;;;"19 - 20 heures";"8,35%";17;134,58;25
;;"30 Mai 2016";"30/05/2016";"Total";;"100,00%";"--";"--";127
;;;;"Lundi";"Total";"100,00%";"--";"--";127
;;;;;"9 - 10 heures";"1,35%";1;140;1
;;;;;"10 - 11 heures";"1,72%";2;89,5;3
;;;;;"11 - 12 heures";"12,12%";8;157,49;11
;;;;;"12 - 13 heures";"14,79%";9;170,89;20
;;;;;"13 - 14 heures";"9,67%";7;143,64;13
;;;;;"14 - 15 heures";"14,40%";8;187,13;16
;;;;;"15 - 16 heures";"13,87%";9;160,22;11
;;;;;"16 - 17 heures";"13,64%";13;109,12;27
;;;;;"17 - 18 heures";"17,58%";12;152,29;21
;;;;;"18 - 19 heures";"-2,87%";1;-298;0
;;;;;"19 - 20 heures";"2,78%";2;144,5;3
;;;;;"20 - 21 heures";"0,95%";1;99;1
;;"31 Mai 2016";"31/05/2016";"Total";;"100,00%";"--";"--";116
;;;;"Mardi";"Total";"100,00%";"--";"--";116
;;;;;"9 - 10 heures";"-0,08%";0;;0
;;;;;"10 - 11 heures";"2,95%";4;70;4
;;;;;"11 - 12 heures";"7,78%";7;105,29;9
;;;;;"12 - 13 heures";"6,98%";7;94,42;11
;;;;;"13 - 14 heures";"7,04%";5;133,4;9
;;;;;"14 - 15 heures";"12,13%";7;164,14;15
;;;;;"15 - 16 heures";"10,65%";8;126,14;11
;;;;;"16 - 17 heures";"11,96%";5;226,6;11
;;;;;"17 - 18 heures";"7,09%";8;83,94;15
;;;;;"18 - 19 heures";"16,53%";11;142,36;17
;;;;;"19 - 20 heures";"9,52%";6;150,33;9
;;;;;"20 - 21 heures";"7,47%";2;354;5
;;"01 Juin 2016";"01/06/2016";"Total";;"100,00%";"--";"--";142
;;;;"Mercredi";"Total";"100,00%";"--";"--";142
;;;;;"9 - 10 heures";"0,70%";1;89;1
;;;;;"10 - 11 heures";"5,77%";5;147,08;7
;;;;;"11 - 12 heures";"7,74%";9;109,55;14
;;;;;"12 - 13 heures";"7,38%";5;188,2;8
;;;;;"13 - 14 heures";"16,73%";16;133,28;27
;;;;;"14 - 15 heures";"6,91%";8;110;8
;;;;;"15 - 16 heures";"9,89%";12;105;15
;;;;;"16 - 17 heures";"14,02%";17;105,09;22
;;;;;"17 - 18 heures";"5,51%";9;78;15
;;;;;"18 - 19 heures";"0,16%";3;6,7;1
;;;;;"19 - 20 heures";"24,06%";10;306,65;23
;;;;;"20 - 21 heures";"1,14%";1;145;1
;;"02 Juin 2016";"02/06/2016";"Total";;"100,00%";"--";"--";117
;;;;"Jeudi";"Total";"100,00%";"--";"--";117
;;;;;"10 - 11 heures";"6,87%";5;119;8
;;;;;"11 - 12 heures";"10,31%";9;99,22;12
;;;;;"12 - 13 heures";"11,49%";7;142,14;9
;;;;;"13 - 14 heures";"5,25%";5;90,89;8
;;;;;"14 - 15 heures";"5,04%";6;72,66;8
;;;;;"15 - 16 heures";"14,75%";13;98,23;17
;;;;;"16 - 17 heures";"17,95%";16;97,13;21
;;;;;"17 - 18 heures";"4,44%";5;76,9;8
;;;;;"18 - 19 heures";"6,56%";7;81,14;9
;;;;;"19 - 20 heures";"6,10%";4;132,13;8
;;;;;"20 - 21 heures";"11,24%";4;243,24;9
;;"03 Juin 2016";"03/06/2016";"Total";;"100,00%";"--";"--";146
;;;;"Vendredi";"Total";"100,00%";"--";"--";146
;;;;;"9 - 10 heures";"0,91%";1;95;1
;;;;;"10 - 11 heures";"10,38%";9;120,61;15
;;;;;"11 - 12 heures";"9,70%";10;101,39;16
;;;;;"12 - 13 heures";"12,58%";11;119,54;17
;;;;;"13 - 14 heures";"4,55%";5;95,2;5
;;;;;"14 - 15 heures";"11,18%";10;116,9;15
;;;;;"15 - 16 heures";"12,76%";13;102,6;20
;;;;;"16 - 17 heures";"13,01%";10;136;16
;;;;;"17 - 18 heures";"7,50%";6;130,67;9
;;;;;"18 - 19 heures";"10,20%";8;133,31;21
;;;;;"19 - 20 heures";"6,70%";4;174,99;9
;;;;;"20 - 21 heures";"0,53%";2;27,5;2
;;"04 Juin 2016";"04/06/2016";"Total";;"100,00%";"--";"--";290
;;;;"Samedi";"Total";"100,00%";"--";"--";290
;;;;;"9 - 10 heures";"3,11%";5;160,79;14
;;;;;"10 - 11 heures";"8,23%";6;354,34;21
;;;;;"11 - 12 heures";"6,24%";15;107,47;18
;;;;;"12 - 13 heures";"9,41%";13;187,08;24
;;;;;"13 - 14 heures";"5,23%";10;135,2;21
;;;;;"14 - 15 heures";"3,37%";7;124,28;10
;;;;;"15 - 16 heures";"8,09%";21;99,54;29
;;;;;"16 - 17 heures";"18,01%";27;172,44;51
;;;;;"17 - 18 heures";"21,62%";34;164,32;50
;;;;;"18 - 19 heures";"12,90%";29;114,93;42
;;;;;"19 - 20 heures";"3,80%";8;122,87;10
;;"06 Juin 2016";"06/06/2016";"Total";;"100,00%";"--";"--";90
;;;;"Lundi";"Total";"100,00%";"--";"--";90
;;;;;"9 - 10 heures";"1,95%";1;139;1
;;;;;"10 - 11 heures";"5,69%";4;101,25;5
;;;;;"11 - 12 heures";"7,15%";5;101,8;6
;;;;;"12 - 13 heures";"11,56%";6;137,17;9
;;;;;"13 - 14 heures";"12,11%";4;215,5;8
;;;;;"14 - 15 heures";"6,87%";3;163;4
;;;;;"15 - 16 heures";"22,55%";14;114,68;29
;;;;;"16 - 17 heures";"9,87%";7;100,43;8
;;;;;"17 - 18 heures";"7,56%";4;134,5;8
;;;;;"18 - 19 heures";"11,95%";7;121,57;10
;;;;;"19 - 20 heures";"2,75%";1;195,95;2
;;"07 Juin 2016";"07/06/2016";"Total";;"100,00%";"--";"--";58
;;;;"Mardi";"Total";"100,00%";"--";"--";58
;;;;;"10 - 11 heures";"2,46%";2;56;3
;;;;;"11 - 12 heures";"6,35%";3;96,33;3
;;;;;"12 - 13 heures";"6,15%";2;140;2
;;;;;"13 - 14 heures";"11,60%";5;105,6;4
;;;;;"14 - 15 heures";"9,84%";5;89,6;5
;;;;;"15 - 16 heures";"13,34%";5;121,4;7
;;;;;"16 - 17 heures";"25,18%";8;143,25;13
;;;;;"17 - 18 heures";"15,73%";7;102,28;14
;;;;;"18 - 19 heures";"3,45%";2;78,5;3
;;;;;"19 - 20 heures";"5,91%";3;89,65;4
;;"08 Juin 2016";"08/06/2016";"Total";;"100,00%";"--";"--";616
;;;;"Mercredi";"Total";"100,00%";"--";"--";616
;;;;;"9 - 10 heures";"2,76%";8;133,36;19
;;;;;"10 - 11 heures";"10,51%";26;156,36;57
;;;;;"11 - 12 heures";"9,53%";26;141,8;57
;;;;;"12 - 13 heures";"8,34%";25;129,02;55
;;;;;"13 - 14 heures";"9,79%";32;118,41;68
;;;;;"14 - 15 heures";"6,81%";27;97,56;58
;;;;;"15 - 16 heures";"10,75%";35;118,79;61
;;;;;"16 - 17 heures";"7,09%";25;109,66;38
;;;;;"17 - 18 heures";"7,64%";31;95,38;56
;;;;;"18 - 19 heures";"10,58%";29;141,12;49
;;;;;"19 - 20 heures";"13,52%";35;149,39;81
;;;;;"20 - 21 heures";"2,70%";11;94,86;17
;;"09 Juin 2016";"09/06/2016";"Total";;"100,00%";"--";"--";555
;;;;"Jeudi";"Total";"100,00%";"--";"--";555
;;;;;"9 - 10 heures";"0,00%";1;0;0
;;;;;"10 - 11 heures";"6,66%";19;121,61;38
;;;;;"11 - 12 heures";"12,58%";30;145,39;73
;;;;;"12 - 13 heures";"9,96%";25;138,18;59
;;;;;"13 - 14 heures";"9,75%";40;84,56;62
;;;;;"14 - 15 heures";"7,83%";18;150,82;31
;;;;;"15 - 16 heures";"8,65%";23;130,52;50
;;;;;"16 - 17 heures";"16,27%";33;171,04;78
;;;;;"17 - 18 heures";"6,58%";23;99,19;33
;;;;;"18 - 19 heures";"8,29%";28;102,73;52
;;;;;"19 - 20 heures";"10,67%";24;154,19;62
;;;;;"20 - 21 heures";"2,75%";7;136,48;17
;;"10 Juin 2016";"10/06/2016";"Total";;"100,00%";"--";"--";445
;;;;"Vendredi";"Total";"100,00%";"--";"--";445
;;;;;"9 - 10 heures";"-0,02%";0;;-1
;;;;;"10 - 11 heures";"6,15%";17;107,26;30
;;;;;"11 - 12 heures";"3,78%";12;93,45;23
;;;;;"12 - 13 heures";"9,85%";26;112,23;40
;;;;;"13 - 14 heures";"14,28%";30;141,07;58
;;;;;"14 - 15 heures";"9,50%";24;117,3;46
;;;;;"15 - 16 heures";"15,05%";35;127,43;59
;;;;;"16 - 17 heures";"10,93%";33;98,17;56
;;;;;"17 - 18 heures";"10,12%";21;142,85;46
;;;;;"18 - 19 heures";"7,72%";18;127,12;34
;;;;;"19 - 20 heures";"11,10%";26;126,54;43
;;;;;"20 - 21 heures";"1,51%";5;89,48;11
;;"11 Juin 2016";"11/06/2016";"Total";;"100,00%";"--";"--";1251
;;;;"Samedi";"Total";"100,00%";"--";"--";1251
;;;;;"9 - 10 heures";"0,54%";4;112,69;7
;;;;;"10 - 11 heures";"3,85%";25;129,21;52
;;;;;"11 - 12 heures";"11,60%";68;143,2;133
;;;;;"12 - 13 heures";"6,97%";48;121,97;106
