"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"12 - 13 heures";"12,87%";5;87,45;10
;;;;;"13 - 14 heures";"5,77%";5;39,22;7
;;;;;"14 - 15 heures";"8,97%";11;27,7;16
;;;;;"15 - 16 heures";"4,16%";5;28,29;5
;;;;;"16 - 17 heures";"16,31%";10;55,41;17
;;;;;"17 - 18 heures";"5,67%";8;24,08;11
;;;;;"18 - 19 heures";"5,56%";7;27,01;12
;;;;;"19 - 20 heures";"12,68%";11;39,17;28
;;;;;"20 - 21 heures";"1,12%";1;38;1
;;"15 Janvier 2015";"15/01/2015";"Total";;"100,00%";"--";"--";121
;;;;"Jeudi";"Total";"100,00%";"--";"--";121
;;;;;"10 - 11 heures";"3,28%";2;60,4;7
;;;;;"11 - 12 heures";"6,59%";5;48,59;6
;;;;;"12 - 13 heures";"5,57%";4;51,36;6
;;;;;"13 - 14 heures";"2,09%";2;38,55;3
;;;;;"14 - 15 heures";"25,52%";11;85,5;24
;;;;;"15 - 16 heures";"14,90%";10;54,91;21
;;;;;"16 - 17 heures";"12,01%";9;49,2;11
;;;;;"17 - 18 heures";"7,60%";8;35,04;12
;;;;;"18 - 19 heures";"11,39%";8;52,46;15
;;;;;"19 - 20 heures";"9,45%";7;49,79;15
;;;;;"20 - 21 heures";"1,60%";1;58,9;1
;;"16 Janvier 2015";"16/01/2015";"Total";;"100,00%";"--";"--";145
;;;;"Vendredi";"Total";"100,00%";"--";"--";145
;;;;;"10 - 11 heures";"11,66%";5;81,08;9
;;;;;"11 - 12 heures";"9,27%";8;40,29;11
;;;;;"12 - 13 heures";"6,64%";8;28,88;14
;;;;;"13 - 14 heures";"5,43%";5;37,81;11
;;;;;"14 - 15 heures";"12,31%";9;47,57;13
;;;;;"15 - 16 heures";"21,25%";18;41,06;40
;;;;;"16 - 17 heures";"7,91%";10;27,53;18
;;;;;"17 - 18 heures";"7,95%";7;39,53;10
;;;;;"18 - 19 heures";"8,32%";6;48,22;9
;;;;;"19 - 20 heures";"7,38%";6;42,76;9
;;;;;"20 - 21 heures";"1,88%";1;65,5;1
;;"17 Janvier 2015";"17/01/2015";"Total";;"100,00%";"--";"--";154
;;;;"Samedi";"Total";"100,00%";"--";"--";154
;;;;;"10 - 11 heures";"2,26%";2;63;3
;;;;;"11 - 12 heures";"6,56%";6;60,86;7
;;;;;"12 - 13 heures";"11,49%";17;37,64;21
;;;;;"13 - 14 heures";"9,30%";8;64,73;10
;;;;;"14 - 15 heures";"8,98%";10;49,99;11
;;;;;"15 - 16 heures";"11,67%";13;49,99;16
;;;;;"16 - 17 heures";"19,61%";18;60,68;34
;;;;;"17 - 18 heures";"11,08%";18;34,3;20
;;;;;"18 - 19 heures";"9,51%";12;44,15;16
;;;;;"19 - 20 heures";"6,57%";11;33,29;12
;;;;;"20 - 21 heures";"2,97%";3;55,1;4
;;"19 Janvier 2015";"19/01/2015";"Total";;"100,00%";"--";"--";72
;;;;"Lundi";"Total";"100,00%";"--";"--";72
;;;;;"9 - 10 heures";"10,34%";1;233,5;4
;;;;;"10 - 11 heures";"1,04%";1;23,5;1
;;;;;"11 - 12 heures";"13,86%";10;31,28;13
;;;;;"12 - 13 heures";"-1,71%";-1;38,5;-2
;;;;;"13 - 14 heures";"9,15%";6;34,43;9
;;;;;"14 - 15 heures";"3,38%";3;25,47;3
;;;;;"15 - 16 heures";"14,55%";3;109,5;7
;;;;;"16 - 17 heures";"9,88%";6;37,17;7
;;;;;"17 - 18 heures";"17,90%";6;67,33;12
;;;;;"18 - 19 heures";"15,98%";6;60,12;13
;;;;;"19 - 20 heures";"4,36%";2;49,25;2
;;;;;"20 - 21 heures";"1,25%";3;9,4;3
;;"20 Janvier 2015";"20/01/2015";"Total";;"100,00%";"--";"--";73
;;;;"Mardi";"Total";"100,00%";"--";"--";73
;;;;;"9 - 10 heures";"1,19%";1;38;1
;;;;;"10 - 11 heures";"3,78%";2;60,59;3
;;;;;"11 - 12 heures";"6,34%";2;101,54;4
;;;;;"12 - 13 heures";"1,55%";1;49,5;1
;;;;;"13 - 14 heures";"12,52%";8;50,13;11
;;;;;"14 - 15 heures";"10,77%";6;57,5;11
;;;;;"15 - 16 heures";"25,66%";11;74,72;15
;;;;;"16 - 17 heures";"6,02%";6;32,15;7
;;;;;"17 - 18 heures";"14,34%";2;229,7;12
;;;;;"18 - 19 heures";"6,59%";4;52,78;4
;;;;;"19 - 20 heures";"8,63%";3;92,17;3
;;;;;"20 - 21 heures";"2,59%";1;83;1
;;"21 Janvier 2015";"21/01/2015";"Total";;"100,00%";"--";"--";60
;;;;"Mercredi";"Total";"100,00%";"--";"--";60
;;;;;"10 - 11 heures";"12,89%";3;103,97;5
;;;;;"11 - 12 heures";"12,81%";5;62;6
;;;;;"13 - 14 heures";"10,99%";6;44,3;8
;;;;;"14 - 15 heures";"18,85%";8;56,99;12
;;;;;"15 - 16 heures";"8,59%";5;41,58;8
;;;;;"16 - 17 heures";"7,06%";5;34,14;5
;;;;;"17 - 18 heures";"7,38%";3;59,5;4
;;;;;"18 - 19 heures";"10,11%";4;61,13;5
;;;;;"19 - 20 heures";"9,67%";4;58,49;6
;;;;;"20 - 21 heures";"1,66%";1;40,04;1
;;"22 Janvier 2015";"22/01/2015";"Total";;"100,00%";"--";"--";130
;;;;"Jeudi";"Total";"100,00%";"--";"--";130
;;;;;"10 - 11 heures";"2,00%";3;29,43;3
;;;;;"11 - 12 heures";"5,98%";5;52,86;6
;;;;;"12 - 13 heures";"14,05%";11;56,45;28
;;;;;"13 - 14 heures";"15,58%";9;76,47;19
;;;;;"14 - 15 heures";"2,63%";4;29,08;5
;;;;;"15 - 16 heures";"11,90%";8;65,75;13
;;;;;"16 - 17 heures";"15,16%";12;55,81;16
;;;;;"17 - 18 heures";"17,68%";7;111,59;22
;;;;;"18 - 19 heures";"5,61%";4;61,93;7
;;;;;"19 - 20 heures";"9,42%";6;69,38;11
;;"23 Janvier 2015";"23/01/2015";"Total";;"100,00%";"--";"--";120
;;;;"Vendredi";"Total";"100,00%";"--";"--";120
;;;;;"10 - 11 heures";"2,75%";2;63,5;3
;;;;;"11 - 12 heures";"20,39%";7;134,35;19
;;;;;"12 - 13 heures";"5,37%";6;41,24;8
;;;;;"13 - 14 heures";"8,67%";7;57,14;11
;;;;;"14 - 15 heures";"3,96%";4;45,6;5
;;;;;"15 - 16 heures";"23,20%";13;82,3;26
;;;;;"16 - 17 heures";"5,05%";3;77,59;10
;;;;;"17 - 18 heures";"8,77%";6;67,42;6
;;;;;"18 - 19 heures";"15,45%";11;64,75;24
;;;;;"19 - 20 heures";"0,67%";1;31;1
;;;;;"20 - 21 heures";"5,71%";2;131,75;7
;;"24 Janvier 2015";"24/01/2015";"Total";;"100,00%";"--";"--";140
;;;;"Samedi";"Total";"100,00%";"--";"--";140
;;;;;"9 - 10 heures";"0,68%";1;32;1
;;;;;"10 - 11 heures";"8,00%";8;47,33;15
;;;;;"11 - 12 heures";"5,58%";6;44;7
;;;;;"12 - 13 heures";"5,71%";6;44,99;14
;;;;;"13 - 14 heures";"9,85%";9;51,77;11
;;;;;"14 - 15 heures";"7,12%";5;67,4;8
;;;;;"15 - 16 heures";"10,01%";8;59,17;13
;;;;;"16 - 17 heures";"15,71%";12;61,92;20
;;;;;"17 - 18 heures";"18,98%";17;52,82;29
;;;;;"18 - 19 heures";"16,35%";12;64,45;20
;;;;;"19 - 20 heures";"2,01%";2;47,59;2
;;"26 Janvier 2015";"26/01/2015";"Total";;"100,00%";"--";"--";66
;;;;"Lundi";"Total";"100,00%";"--";"--";66
;;;;;"11 - 12 heures";"1,60%";2;19;2
;;;;;"12 - 13 heures";"0,59%";1;13,9;1
;;;;;"13 - 14 heures";"4,86%";4;28,8;4
;;;;;"14 - 15 heures";"12,02%";5;57;6
;;;;;"15 - 16 heures";"30,08%";10;71,33;20
;;;;;"16 - 17 heures";"3,02%";2;35,75;2
;;;;;"17 - 18 heures";"12,90%";7;43,69;9
;;;;;"18 - 19 heures";"22,11%";6;87,39;12
;;;;;"19 - 20 heures";"9,38%";4;55,63;9
;;;;;"20 - 21 heures";"3,44%";1;81,5;1
;;"27 Janvier 2015";"27/01/2015";"Total";;"100,00%";"--";"--";58
;;;;"Mardi";"Total";"100,00%";"--";"--";58
;;;;;"10 - 11 heures";"2,49%";-2;-19,75;-1
;;;;;"11 - 12 heures";"3,77%";2;29,85;2
;;;;;"12 - 13 heures";"8,02%";2;63,5;3
;;;;;"13 - 14 heures";"4,65%";2;36,79;5
;;;;;"14 - 15 heures";"1,14%";2;9,01;2
;;;;;"15 - 16 heures";"12,49%";5;39,56;9
;;;;;"16 - 17 heures";"18,84%";5;59,66;8
;;;;;"17 - 18 heures";"19,63%";6;51,8;10
;;;;;"18 - 19 heures";"12,98%";3;68,5;6
;;;;;"19 - 20 heures";"11,37%";6;30;10
;;;;;"20 - 21 heures";"4,64%";2;36,7;4
;;"28 Janvier 2015";"28/01/2015";"Total";;"100,00%";"--";"--";72
;;;;"Mercredi";"Total";"100,00%";"--";"--";72
;;;;;"9 - 10 heures";"2,27%";1;52;1
;;;;;"10 - 11 heures";"2,31%";2;26,5;2
;;;;;"12 - 13 heures";"2,42%";4;13,91;4
;;;;;"13 - 14 heures";"11,26%";4;64,6;9
;;;;;"14 - 15 heures";"18,60%";3;142,29;3
;;;;;"15 - 16 heures";"17,19%";6;65,73;14
;;;;;"16 - 17 heures";"12,99%";9;33,12;19
;;;;;"17 - 18 heures";"3,51%";2;40,25;4
;;;;;"18 - 19 heures";"2,48%";3;18,97;5
;;;;;"19 - 20 heures";"20,43%";7;66,97;8
;;;;;"20 - 21 heures";"6,55%";3;50,12;3
;;"29 Janvier 2015";"29/01/2015";"Total";;"100,00%";"--";"--";95
;;;;"Jeudi";"Total";"100,00%";"--";"--";95
;;;;;"11 - 12 heures";"10,36%";5;66,6;8
;;;;;"13 - 14 heures";"11,17%";5;71,8;8
;;;;;"14 - 15 heures";"12,73%";8;51,14;13
;;;;;"15 - 16 heures";"20,89%";9;74,62;18
;;;;;"16 - 17 heures";"20,86%";11;60,96;25
;;;;;"17 - 18 heures";"9,60%";7;44,07;9
;;;;;"18 - 19 heures";"1,37%";3;14,64;4
;;;;;"19 - 20 heures";"10,86%";5;69,84;9
;;;;;"20 - 21 heures";"2,16%";1;69,5;1
;;"30 Janvier 2015";"30/01/2015";"Total";;"100,00%";"--";"--";86
;;;;"Vendredi";"Total";"100,00%";"--";"--";86
;;;;;"10 - 11 heures";"2,60%";1;74;2
;;;;;"11 - 12 heures";"3,76%";3;35,65;4
;;;;;"12 - 13 heures";"19,10%";9;60,39;13
;;;;;"13 - 14 heures";"6,43%";3;60,97;5
;;;;;"14 - 15 heures";"3,83%";3;36,33;5
;;;;;"15 - 16 heures";"10,42%";6;49,42;9
;;;;;"16 - 17 heures";"15,49%";7;62,94;11
;;;;;"17 - 18 heures";"17,44%";10;49,61;15
;;;;;"18 - 19 heures";"10,18%";6;48,25;11
;;;;;"19 - 20 heures";"8,23%";5;46,8;7
;;;;;"20 - 21 heures";"2,53%";2;35,97;4
;;"31 Janvier 2015";"31/01/2015";"Total";;"100,00%";"--";"--";197
;;;;"Samedi";"Total";"100,00%";"--";"--";197
;;;;;"9 - 10 heures";"1,11%";1;81;2
;;;;;"10 - 11 heures";"10,51%";7;109,07;14
;;;;;"11 - 12 heures";"9,51%";11;62,8;18
;;;;;"12 - 13 heures";"11,47%";13;64,09;23
;;;;;"13 - 14 heures";"7,79%";11;51,47;17
;;;;;"14 - 15 heures";"7,94%";12;48,08;18
;;;;;"15 - 16 heures";"16,49%";17;70,49;31
;;;;;"16 - 17 heures";"8,27%";11;54,63;23
;;;;;"17 - 18 heures";"15,50%";20;56,3;26
;;;;;"18 - 19 heures";"4,77%";9;38,48;10
;;;;;"19 - 20 heures";"6,64%";8;60,33;15
;;"02 Février 2015";"02/02/2015";"Total";;"100,00%";"--";"--";51
;;;;"Lundi";"Total";"100,00%";"--";"--";51
;;;;;"10 - 11 heures";"1,33%";1;23;2
;;;;;"11 - 12 heures";"11,46%";3;65,83;3
;;;;;"12 - 13 heures";"9,46%";3;54,33;4
;;;;;"13 - 14 heures";"5,30%";3;30,45;5
;;;;;"14 - 15 heures";"10,59%";3;60,83;4
;;;;;"15 - 16 heures";"2,36%";3;13,57;3
;;;;;"16 - 17 heures";"27,35%";10;47,14;17
;;;;;"17 - 18 heures";"18,57%";4;80;7
;;;;;"18 - 19 heures";"7,21%";4;31,05;4
;;;;;"19 - 20 heures";"6,38%";2;55;2
;;"03 Février 2015";"03/02/2015";"Total";;"100,00%";"--";"--";39
;;;;"Mardi";"Total";"100,00%";"--";"--";39
;;;;;"10 - 11 heures";"1,36%";0;;0
;;;;;"11 - 12 heures";"19,33%";4;72,75;7
;;;;;"12 - 13 heures";"0,43%";1;6,4;1
;;;;;"13 - 14 heures";"8,66%";5;26,06;6
;;;;;"14 - 15 heures";"9,40%";2;70,75;3
;;;;;"15 - 16 heures";"12,65%";4;47,63;5
;;;;;"16 - 17 heures";"14,33%";4;53,93;6
