"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;"01 Décembre 2015";"01/12/2015";"Total";;"100,00%";"--";"--";228
;;;;"Mardi";"Total";"100,00%";"--";"--";228
;;;;;"9 - 10 heures";"2,20%";3;140,17;5
;;;;;"10 - 11 heures";"7,36%";11;128,2;14
;;;;;"11 - 12 heures";"9,16%";10;175,38;16
;;;;;"12 - 13 heures";"10,37%";17;116,9;28
;;;;;"13 - 14 heures";"11,43%";17;128,73;21
;;;;;"14 - 15 heures";"5,96%";11;103,77;19
;;;;;"15 - 16 heures";"14,08%";28;96,35;39
;;;;;"16 - 17 heures";"18,14%";23;151,09;36
;;;;;"17 - 18 heures";"9,40%";14;128,68;22
;;;;;"18 - 19 heures";"7,47%";14;102,16;16
;;;;;"19 - 20 heures";"3,86%";6;123,3;11
;;;;;"20 - 21 heures";"0,57%";1;109;1
;;"02 Décembre 2015";"02/12/2015";"Total";;"100,00%";"--";"--";277
;;;;"Mercredi";"Total";"100,00%";"--";"--";277
;;;;;"9 - 10 heures";"0,30%";1;69,3;1
;;;;;"10 - 11 heures";"5,89%";12;115,03;20
;;;;;"11 - 12 heures";"5,84%";16;85,61;17
;;;;;"12 - 13 heures";"10,97%";18;142,89;29
;;;;;"13 - 14 heures";"5,77%";13;104,16;23
;;;;;"14 - 15 heures";"10,04%";17;138,56;24
;;;;;"15 - 16 heures";"9,36%";21;104,57;25
;;;;;"16 - 17 heures";"11,72%";28;98,14;35
;;;;;"17 - 18 heures";"4,92%";14;82,36;16
;;;;;"18 - 19 heures";"15,47%";21;172,76;40
;;;;;"19 - 20 heures";"17,83%";24;174,21;41
;;;;;"20 - 21 heures";"1,90%";3;148,6;6
;;"03 Décembre 2015";"03/12/2015";"Total";;"100,00%";"--";"--";333
;;;;"Jeudi";"Total";"100,00%";"--";"--";333
;;;;;"9 - 10 heures";"0,42%";0;;0
;;;;;"10 - 11 heures";"4,56%";15;87,19;18
;;;;;"11 - 12 heures";"8,27%";17;139,67;32
;;;;;"12 - 13 heures";"9,07%";19;137,08;34
;;;;;"13 - 14 heures";"8,43%";18;134,47;29
;;;;;"14 - 15 heures";"10,50%";21;143,46;35
;;;;;"15 - 16 heures";"11,54%";24;138,06;28
;;;;;"16 - 17 heures";"14,67%";33;127,6;56
;;;;;"17 - 18 heures";"14,71%";28;150,78;38
;;;;;"18 - 19 heures";"8,52%";22;111,16;28
;;;;;"19 - 20 heures";"4,89%";14;100,21;20
;;;;;"20 - 21 heures";"4,41%";8;158,19;15
;;"04 Décembre 2015";"04/12/2015";"Total";;"100,00%";"--";"--";340
;;;;"Vendredi";"Total";"100,00%";"--";"--";340
;;;;;"9 - 10 heures";"0,55%";2;77,5;2
;;;;;"10 - 11 heures";"4,24%";8;149,7;11
;;;;;"11 - 12 heures";"4,68%";15;88,19;17
;;;;;"12 - 13 heures";"11,00%";28;111,11;51
;;;;;"13 - 14 heures";"8,40%";19;125;32
;;;;;"14 - 15 heures";"22,46%";38;167,09;60
;;;;;"15 - 16 heures";"11,50%";32;101,58;50
;;;;;"16 - 17 heures";"11,64%";29;113,45;37
;;;;;"17 - 18 heures";"12,97%";27;135,87;37
;;;;;"18 - 19 heures";"6,98%";15;131,58;21
;;;;;"19 - 20 heures";"3,88%";12;91,43;16
;;;;;"20 - 21 heures";"1,71%";3;161,43;6
;;"05 Décembre 2015";"05/12/2015";"Total";;"100,00%";"--";"--";623
;;;;"Samedi";"Total";"100,00%";"--";"--";623
;;;;;"9 - 10 heures";"1,19%";5;139;8
;;;;;"10 - 11 heures";"6,26%";25;146,35;45
;;;;;"11 - 12 heures";"10,48%";49;125,06;77
;;;;;"12 - 13 heures";"11,44%";39;171,56;62
;;;;;"13 - 14 heures";"5,33%";32;97,38;41
;;;;;"14 - 15 heures";"5,34%";27;115,67;41
;;;;;"15 - 16 heures";"9,75%";53;107,62;69
;;;;;"16 - 17 heures";"17,16%";64;156,79;77
;;;;;"17 - 18 heures";"16,68%";61;159,84;93
;;;;;"18 - 19 heures";"10,58%";49;126,21;72
;;;;;"19 - 20 heures";"5,79%";27;125,41;38
6;"LINGERIE";"Total";;;;"100,00%";"--";"--";26297
;;"02 Janvier 2015";"02/01/2015";"Total";;"100,00%";"--";"--";105
;;;;"Vendredi";"Total";"100,00%";"--";"--";105
;;;;;"11 - 12 heures";"6,40%";4;58,08;6
;;;;;"12 - 13 heures";"8,00%";5;58,01;10
;;;;;"13 - 14 heures";"4,56%";4;41,38;8
;;;;;"14 - 15 heures";"15,17%";7;78,61;9
;;;;;"15 - 16 heures";"13,33%";9;53,74;16
;;;;;"16 - 17 heures";"18,69%";9;75,33;18
;;;;;"17 - 18 heures";"12,46%";7;64,6;20
;;;;;"18 - 19 heures";"18,93%";5;137,38;13
;;;;;"19 - 20 heures";"2,46%";2;44,55;5
;;"03 Janvier 2015";"03/01/2015";"Total";;"100,00%";"--";"--";149
;;;;"Samedi";"Total";"100,00%";"--";"--";149
;;;;;"9 - 10 heures";"1,60%";2;38,6;2
;;;;;"10 - 11 heures";"2,42%";2;58,5;3
;;;;;"11 - 12 heures";"15,36%";7;105,99;16
;;;;;"12 - 13 heures";"6,28%";4;75,88;9
;;;;;"13 - 14 heures";"8,59%";6;69,2;13
;;;;;"14 - 15 heures";"11,08%";11;48,67;18
;;;;;"15 - 16 heures";"11,13%";6;89,6;11
;;;;;"16 - 17 heures";"14,72%";13;54,7;27
;;;;;"17 - 18 heures";"16,14%";12;64,98;25
;;;;;"18 - 19 heures";"4,66%";6;37,5;12
;;;;;"19 - 20 heures";"8,03%";3;129,27;13
;;"05 Janvier 2015";"05/01/2015";"Total";;"100,00%";"--";"--";78
;;;;"Lundi";"Total";"100,00%";"--";"--";78
;;;;;"10 - 11 heures";"3,98%";2;54,9;3
;;;;;"11 - 12 heures";"7,83%";2;108;4
;;;;;"12 - 13 heures";"14,21%";5;78,38;14
;;;;;"13 - 14 heures";"2,80%";1;77,1;3
;;;;;"14 - 15 heures";"2,14%";1;59;1
;;;;;"15 - 16 heures";"26,97%";8;92,99;21
;;;;;"16 - 17 heures";"33,07%";9;101,36;19
;;;;;"17 - 18 heures";"2,84%";2;39,2;3
;;;;;"18 - 19 heures";"4,26%";4;29,4;7
;;;;;"19 - 20 heures";"1,90%";1;52,3;3
;;"06 Janvier 2015";"06/01/2015";"Total";;"100,00%";"--";"--";93
;;;;"Mardi";"Total";"100,00%";"--";"--";93
;;;;;"10 - 11 heures";"4,34%";3;42,47;5
;;;;;"11 - 12 heures";"4,15%";3;40,6;5
;;;;;"12 - 13 heures";"4,92%";4;36,08;4
;;;;;"13 - 14 heures";"5,52%";5;32,39;7
;;;;;"14 - 15 heures";"20,69%";4;151,83;11
;;;;;"15 - 16 heures";"14,12%";9;46,03;12
;;;;;"16 - 17 heures";"20,04%";10;58,81;18
;;;;;"17 - 18 heures";"19,82%";8;72,69;20
;;;;;"18 - 19 heures";"5,62%";7;23,56;10
;;;;;"19 - 20 heures";"0,78%";1;23;1
;;"07 Janvier 2015";"07/01/2015";"Total";;"100,00%";"--";"--";336
;;;;"Mercredi";"Total";"100,00%";"--";"--";336
;;;;;"7 - 8 heures";"0,12%";1;11,9;1
;;;;;"8 - 9 heures";"0,46%";1;44,85;3
;;;;;"9 - 10 heures";"4,66%";12;37,93;18
;;;;;"10 - 11 heures";"11,48%";18;62,26;42
;;;;;"11 - 12 heures";"10,54%";19;54,14;35
;;;;;"12 - 13 heures";"12,93%";23;54,87;42
;;;;;"13 - 14 heures";"7,78%";20;38;33
;;;;;"14 - 15 heures";"5,27%";14;36,76;18
;;;;;"15 - 16 heures";"8,86%";18;48,03;30
;;;;;"16 - 17 heures";"9,53%";15;62,01;34
;;;;;"17 - 18 heures";"11,15%";11;98,96;29
;;;;;"18 - 19 heures";"9,83%";8;119,98;23
;;;;;"19 - 20 heures";"4,28%";8;52,19;13
;;;;;"20 - 21 heures";"3,10%";7;43,27;15
;;"08 Janvier 2015";"08/01/2015";"Total";;"100,00%";"--";"--";311
;;;;"Jeudi";"Total";"100,00%";"--";"--";311
;;;;;"9 - 10 heures";"1,11%";1;101,4;4
;;;;;"10 - 11 heures";"8,56%";12;65,48;26
;;;;;"11 - 12 heures";"14,11%";19;68,14;39
;;;;;"12 - 13 heures";"5,53%";9;56,36;18
;;;;;"13 - 14 heures";"7,72%";13;54,45;25
;;;;;"14 - 15 heures";"9,82%";16;56,29;34
;;;;;"15 - 16 heures";"14,71%";21;64,25;42
;;;;;"16 - 17 heures";"14,41%";21;62,98;45
;;;;;"17 - 18 heures";"10,36%";13;73,1;38
;;;;;"18 - 19 heures";"6,46%";9;65,82;16
;;;;;"19 - 20 heures";"4,81%";9;49,06;15
;;;;;"20 - 21 heures";"2,41%";6;36,83;9
;;"09 Janvier 2015";"09/01/2015";"Total";;"100,00%";"--";"--";316
;;;;"Vendredi";"Total";"100,00%";"--";"--";316
;;;;;"10 - 11 heures";"0,50%";2;24;2
;;;;;"11 - 12 heures";"14,47%";18;77,31;41
;;;;;"12 - 13 heures";"4,06%";10;39,08;23
;;;;;"13 - 14 heures";"12,04%";20;57,92;38
;;;;;"14 - 15 heures";"7,47%";13;55,25;24
;;;;;"15 - 16 heures";"18,24%";19;92,33;51
;;;;;"16 - 17 heures";"8,68%";15;55,65;26
;;;;;"17 - 18 heures";"7,81%";12;62,62;21
;;;;;"18 - 19 heures";"12,83%";22;56,1;45
;;;;;"19 - 20 heures";"10,53%";14;72,37;32
;;;;;"20 - 21 heures";"3,37%";6;54,06;13
;;"10 Janvier 2015";"10/01/2015";"Total";;"100,00%";"--";"--";506
;;;;"Samedi";"Total";"100,00%";"--";"--";506
;;;;;"9 - 10 heures";"1,25%";2;87,11;6
;;;;;"10 - 11 heures";"7,26%";18;56,2;38
;;;;;"11 - 12 heures";"15,60%";29;74,94;63
;;;;;"12 - 13 heures";"8,14%";16;70,91;36
;;;;;"13 - 14 heures";"13,06%";24;75,82;63
;;;;;"14 - 15 heures";"9,65%";16;84,07;47
;;;;;"15 - 16 heures";"6,84%";16;59,58;38
;;;;;"16 - 17 heures";"12,58%";28;62,58;71
;;;;;"17 - 18 heures";"10,62%";23;64,33;61
;;;;;"18 - 19 heures";"7,12%";18;55,1;41
;;;;;"19 - 20 heures";"6,38%";22;40,38;35
;;;;;"20 - 21 heures";"1,50%";5;41,86;7
;;"12 Janvier 2015";"12/01/2015";"Total";;"100,00%";"--";"--";164
;;;;"Lundi";"Total";"100,00%";"--";"--";164
;;;;;"9 - 10 heures";"0,00%";0;;0
;;;;;"10 - 11 heures";"4,47%";4;57,25;7
;;;;;"11 - 12 heures";"10,67%";10;54,63;16
;;;;;"12 - 13 heures";"8,61%";7;63,03;13
;;;;;"13 - 14 heures";"15,82%";12;67,55;26
;;;;;"14 - 15 heures";"8,76%";6;74,78;12
;;;;;"15 - 16 heures";"11,15%";11;51,91;18
;;;;;"16 - 17 heures";"5,96%";5;61,02;11
;;;;;"17 - 18 heures";"13,93%";15;47,57;23
;;;;;"18 - 19 heures";"6,25%";7;45,72;14
;;;;;"19 - 20 heures";"18,64%";11;86,79;26
;;;;;"20 - 21 heures";"-4,26%";-1;218;-2
;;"13 Janvier 2015";"13/01/2015";"Total";;"100,00%";"--";"--";187
;;;;"Mardi";"Total";"100,00%";"--";"--";187
;;;;;"9 - 10 heures";"0,44%";1;23,8;1
;;;;;"10 - 11 heures";"6,42%";5;70,05;7
;;;;;"11 - 12 heures";"6,21%";9;37,63;18
;;;;;"12 - 13 heures";"7,80%";8;53,19;18
;;;;;"13 - 14 heures";"8,48%";7;66,07;16
;;;;;"14 - 15 heures";"10,43%";10;56,91;21
;;;;;"15 - 16 heures";"10,68%";13;44,82;24
;;;;;"16 - 17 heures";"14,41%";10;78,61;23
;;;;;"17 - 18 heures";"16,84%";10;91,88;25
;;;;;"18 - 19 heures";"2,15%";5;23,4;5
;;;;;"19 - 20 heures";"12,41%";10;67,69;21
;;;;;"20 - 21 heures";"3,73%";4;50,85;8
;;"14 Janvier 2015";"14/01/2015";"Total";;"100,00%";"--";"--";169
;;;;"Mercredi";"Total";"100,00%";"--";"--";169
;;;;;"10 - 11 heures";"7,64%";8;45,09;16
;;;;;"11 - 12 heures";"5,44%";6;42,8;10
;;;;;"12 - 13 heures";"8,02%";6;63,05;15
;;;;;"13 - 14 heures";"10,39%";7;70,04;17
;;;;;"14 - 15 heures";"5,62%";8;33,14;15
;;;;;"15 - 16 heures";"8,41%";9;44,09;14
;;;;;"16 - 17 heures";"16,09%";12;63,26;23
;;;;;"17 - 18 heures";"5,21%";5;49,15;12
;;;;;"18 - 19 heures";"6,66%";7;44,91;12
;;;;;"19 - 20 heures";"21,77%";8;128,42;26
;;;;;"20 - 21 heures";"4,74%";3;74,6;9
;;"15 Janvier 2015";"15/01/2015";"Total";;"100,00%";"--";"--";222
;;;;"Jeudi";"Total";"100,00%";"--";"--";222
;;;;;"10 - 11 heures";"1,02%";2;31,02;3
;;;;;"11 - 12 heures";"9,66%";13;45,16;21
;;;;;"12 - 13 heures";"7,31%";11;40,35;22
;;;;;"13 - 14 heures";"19,49%";14;84,58;40
;;;;;"14 - 15 heures";"5,05%";10;30,65;16
;;;;;"15 - 16 heures";"11,96%";17;42,74;21
;;;;;"16 - 17 heures";"11,33%";17;40,49;23
;;;;;"17 - 18 heures";"8,98%";11;49,57;20
;;;;;"18 - 19 heures";"18,89%";17;67,48;38
;;;;;"19 - 20 heures";"5,51%";8;41,87;15
;;;;;"20 - 21 heures";"0,80%";2;24,4;3
;;"16 Janvier 2015";"16/01/2015";"Total";;"100,00%";"--";"--";243
;;;;"Vendredi";"Total";"100,00%";"--";"--";243
;;;;;"10 - 11 heures";"1,87%";3;43,41;8
;;;;;"11 - 12 heures";"6,52%";7;64,95;14
;;;;;"12 - 13 heures";"14,50%";10;101,2;33
;;;;;"13 - 14 heures";"1,37%";4;23,82;7
;;;;;"14 - 15 heures";"14,87%";17;61,02;36
;;;;;"15 - 16 heures";"14,48%";14;72,18;40
;;;;;"16 - 17 heures";"11,58%";14;57,71;26
;;;;;"17 - 18 heures";"19,82%";17;81,35;44
;;;;;"18 - 19 heures";"9,02%";6;104,85;18
;;;;;"19 - 20 heures";"5,74%";10;40,08;16
;;;;;"20 - 21 heures";"0,24%";1;16,74;1
;;"17 Janvier 2015";"17/01/2015";"Total";;"100,00%";"--";"--";359
;;;;"Samedi";"Total";"100,00%";"--";"--";359
;;;;;"9 - 10 heures";"0,00%";0;;0
;;;;;"10 - 11 heures";"2,76%";5;56,53;11
;;;;;"11 - 12 heures";"6,15%";10;62,92;19
;;;;;"12 - 13 heures";"5,00%";11;46,52;26
;;;;;"13 - 14 heures";"10,86%";14;79,35;35
;;;;;"14 - 15 heures";"7,38%";17;44,41;30
;;;;;"15 - 16 heures";"15,10%";28;55,18;53
;;;;;"16 - 17 heures";"13,49%";23;60,01;45
;;;;;"17 - 18 heures";"16,24%";26;63,91;58
;;;;;"18 - 19 heures";"14,23%";16;91,01;44
;;;;;"19 - 20 heures";"8,57%";19;46,13;37
;;;;;"20 - 21 heures";"0,22%";1;22,5;1
;;"19 Janvier 2015";"19/01/2015";"Total";;"100,00%";"--";"--";163
;;;;"Lundi";"Total";"100,00%";"--";"--";163
;;;;;"10 - 11 heures";"2,37%";2;57,87;3
;;;;;"11 - 12 heures";"7,93%";7;55,35;13
;;;;;"12 - 13 heures";"16,55%";8;101,05;24
;;;;;"13 - 14 heures";"8,38%";6;68,18;17
;;;;;"14 - 15 heures";"13,24%";8;80,82;24
;;;;;"15 - 16 heures";"19,13%";12;77,84;27
;;;;;"16 - 17 heures";"19,81%";14;69,08;34
;;;;;"17 - 18 heures";"5,46%";4;66,67;7
;;;;;"18 - 19 heures";"4,83%";6;39,34;7
;;;;;"19 - 20 heures";"2,30%";4;28,05;7
;;"20 Janvier 2015";"20/01/2015";"Total";;"100,00%";"--";"--";146
;;;;"Mardi";"Total";"100,00%";"--";"--";146
;;;;;"10 - 11 heures";"-4,26%";-1;175;-2
;;;;;"11 - 12 heures";"14,54%";8;74,72;21
;;;;;"12 - 13 heures";"5,58%";7;32,77;8
;;;;;"13 - 14 heures";"8,85%";8;45,49;13
;;;;;"14 - 15 heures";"14,34%";10;58,93;20
;;;;;"15 - 16 heures";"13,08%";11;48,89;15
;;;;;"16 - 17 heures";"20,86%";11;77,93;34
;;;;;"17 - 18 heures";"3,99%";5;32,79;8
;;;;;"18 - 19 heures";"20,07%";10;82,49;23
;;;;;"19 - 20 heures";"2,36%";4;24,29;4
;;;;;"20 - 21 heures";"0,58%";1;23,76;2
;;"21 Janvier 2015";"21/01/2015";"Total";;"100,00%";"--";"--";126
;;;;"Mercredi";"Total";"100,00%";"--";"--";126
;;;;;"10 - 11 heures";"1,61%";2;26;3
;;;;;"11 - 12 heures";"3,14%";2;50,55;6
;;;;;"12 - 13 heures";"8,02%";6;43,09;7
;;;;;"13 - 14 heures";"7,54%";5;48,62;10
;;;;;"14 - 15 heures";"12,38%";5;79,81;17
;;;;;"15 - 16 heures";"7,47%";5;48,16;9
;;;;;"16 - 17 heures";"13,25%";6;71,21;21
;;;;;"17 - 18 heures";"23,87%";8;96,22;28
;;;;;"18 - 19 heures";"11,57%";8;46,61;13
;;;;;"19 - 20 heures";"11,16%";6;59,95;12
;;"22 Janvier 2015";"22/01/2015";"Total";;"100,00%";"--";"--";153
;;;;"Jeudi";"Total";"100,00%";"--";"--";153
;;;;;"10 - 11 heures";"10,56%";3;147,68;13
;;;;;"11 - 12 heures";"5,13%";4;53,88;7
;;;;;"12 - 13 heures";"7,44%";7;44,6;9
;;;;;"13 - 14 heures";"12,41%";10;52,1;25
;;;;;"14 - 15 heures";"3,83%";3;53,54;6
;;;;;"15 - 16 heures";"8,33%";8;43,68;15
;;;;;"16 - 17 heures";"19,99%";13;64,53;27
;;;;;"17 - 18 heures";"21,92%";14;65,71;38
;;;;;"18 - 19 heures";"3,02%";2;63,4;3
;;;;;"19 - 20 heures";"6,87%";4;72,1;9
;;;;;"20 - 21 heures";"0,51%";1;21,6;1
;;"23 Janvier 2015";"23/01/2015";"Total";;"100,00%";"--";"--";146
;;;;"Vendredi";"Total";"100,00%";"--";"--";146
;;;;;"9 - 10 heures";"0,33%";1;14;1
;;;;;"10 - 11 heures";"1,84%";1;78,24;2
;;;;;"11 - 12 heures";"3,34%";4;35,62;7
;;;;;"12 - 13 heures";"6,00%";7;36,52;10
;;;;;"13 - 14 heures";"18,48%";14;56,22;29
;;;;;"14 - 15 heures";"1,17%";1;49,9;2
;;;;;"15 - 16 heures";"19,51%";9;92,33;26
;;;;;"16 - 17 heures";"18,70%";13;61,28;29
;;;;;"17 - 18 heures";"19,14%";10;81,51;24
;;;;;"18 - 19 heures";"4,03%";4;42,9;6
;;;;;"19 - 20 heures";"3,36%";5;28,66;7
;;;;;"20 - 21 heures";"4,09%";2;87,06;3
;;"24 Janvier 2015";"24/01/2015";"Total";;"100,00%";"--";"--";284
;;;;"Samedi";"Total";"100,00%";"--";"--";284
;;;;;"9 - 10 heures";"0,20%";1;18;1
;;;;;"10 - 11 heures";"2,00%";5;36,93;10
;;;;;"11 - 12 heures";"3,74%";9;38,25;16
;;;;;"12 - 13 heures";"8,19%";9;83,86;20
;;;;;"13 - 14 heures";"6,09%";8;70,14;17
;;;;;"14 - 15 heures";"11,65%";16;67,05;34
;;;;;"15 - 16 heures";"15,61%";14;102,72;34
;;;;;"16 - 17 heures";"10,11%";20;46,57;30
;;;;;"17 - 18 heures";"26,28%";26;93,1;70
;;;;;"18 - 19 heures";"10,72%";16;61,73;35
;;;;;"19 - 20 heures";"5,40%";10;49,76;17
;;"26 Janvier 2015";"26/01/2015";"Total";;"100,00%";"--";"--";116
;;;;"Lundi";"Total";"100,00%";"--";"--";116
;;;;;"9 - 10 heures";"0,51%";1;18;1
;;;;;"10 - 11 heures";"0,72%";0;;1
;;;;;"11 - 12 heures";"12,86%";7;64,24;14
;;;;;"12 - 13 heures";"6,46%";3;75,31;8
;;;;;"13 - 14 heures";"5,69%";6;33,17;8
;;;;;"14 - 15 heures";"8,43%";4;73,75;7
;;;;;"15 - 16 heures";"10,18%";5;71,2;12
;;;;;"16 - 17 heures";"12,05%";6;70,28;14
;;;;;"17 - 18 heures";"2,63%";5;18,42;6
;;;;;"18 - 19 heures";"10,20%";6;59,45;11
;;;;;"19 - 20 heures";"30,26%";7;151,23;34
;;"27 Janvier 2015";"27/01/2015";"Total";;"100,00%";"--";"--";100
;;;;"Mardi";"Total";"100,00%";"--";"--";100
;;;;;"9 - 10 heures";"0,35%";1;10,64;1
;;;;;"10 - 11 heures";"8,25%";5;50,19;10
;;;;;"11 - 12 heures";"6,59%";3;66,85;6
;;;;;"12 - 13 heures";"19,39%";9;65,57;13
;;;;;"13 - 14 heures";"19,58%";7;85,12;15
;;;;;"14 - 15 heures";"12,20%";6;61,89;12
;;;;;"15 - 16 heures";"3,06%";4;23,32;6
;;;;;"16 - 17 heures";"5,89%";4;44,81;5
;;;;;"17 - 18 heures";"15,73%";8;59,84;23
;;;;;"18 - 19 heures";"8,02%";5;48,8;8
;;;;;"19 - 20 heures";"0,95%";1;28,8;1
;;"28 Janvier 2015";"28/01/2015";"Total";;"100,00%";"--";"--";154
;;;;"Mercredi";"Total";"100,00%";"--";"--";154
;;;;;"9 - 10 heures";"1,14%";1;50;1
;;;;;"10 - 11 heures";"6,62%";5;57,99;7
;;;;;"11 - 12 heures";"13,67%";6;99,73;19
;;;;;"12 - 13 heures";"4,33%";4;47,37;13
;;;;;"13 - 14 heures";"10,10%";9;49,12;21
;;;;;"14 - 15 heures";"3,07%";3;44,87;5
;;;;;"15 - 16 heures";"8,44%";9;41,08;19
;;;;;"16 - 17 heures";"21,32%";12;77,77;20
;;;;;"17 - 18 heures";"9,99%";6;72,92;16
;;;;;"18 - 19 heures";"9,50%";9;46,23;17
;;;;;"19 - 20 heures";"10,32%";6;75,34;15
;;;;;"20 - 21 heures";"1,48%";1;65;1
;;"29 Janvier 2015";"29/01/2015";"Total";;"100,00%";"--";"--";131
;;;;"Jeudi";"Total";"100,00%";"--";"--";131
;;;;;"10 - 11 heures";"3,50%";4;34,48;4
;;;;;"11 - 12 heures";"4,25%";6;27,89;8
;;;;;"12 - 13 heures";"0,89%";1;35,04;2
;;;;;"13 - 14 heures";"12,76%";5;100,38;16
;;;;;"14 - 15 heures";"5,44%";3;71,31;7
;;;;;"15 - 16 heures";"8,50%";8;41,79;10
;;;;;"16 - 17 heures";"39,05%";15;102,43;45
;;;;;"17 - 18 heures";"8,28%";6;54,31;12
;;;;;"18 - 19 heures";"7,88%";4;77,54;9
;;;;;"19 - 20 heures";"3,55%";3;46,59;5
;;;;;"20 - 21 heures";"5,89%";3;77,29;13
;;"30 Janvier 2015";"30/01/2015";"Total";;"100,00%";"--";"--";152
;;;;"Vendredi";"Total";"100,00%";"--";"--";152
;;;;;"9 - 10 heures";"0,85%";1;34,66;2
;;;;;"10 - 11 heures";"3,82%";4;38,85;6
;;;;;"11 - 12 heures";"7,55%";4;76,85;12
;;;;;"12 - 13 heures";"9,84%";9;44,52;17
;;;;;"13 - 14 heures";"10,27%";10;41,82;22
;;;;;"14 - 15 heures";"11,36%";9;51,41;11
;;;;;"15 - 16 heures";"4,59%";8;23,39;11
;;;;;"16 - 17 heures";"18,55%";12;62,95;30
;;;;;"17 - 18 heures";"10,70%";9;48,41;18
;;;;;"18 - 19 heures";"3,65%";5;29,73;8
;;;;;"19 - 20 heures";"13,66%";5;111,26;10
;;;;;"20 - 21 heures";"5,16%";3;70,1;5
;;"31 Janvier 2015";"31/01/2015";"Total";;"100,00%";"--";"--";172
;;;;"Samedi";"Total";"100,00%";"--";"--";172
;;;;;"9 - 10 heures";"2,31%";1;138;5
;;;;;"10 - 11 heures";"11,88%";6;118,49;13
;;;;;"11 - 12 heures";"5,90%";4;88,23;10
;;;;;"12 - 13 heures";"3,71%";3;74;4
;;;;;"13 - 14 heures";"1,31%";2;39,25;2
;;;;;"14 - 15 heures";"8,71%";8;65,2;16
;;;;;"15 - 16 heures";"17,82%";13;82,03;32
;;;;;"16 - 17 heures";"5,17%";10;30,94;16
;;;;;"17 - 18 heures";"20,18%";15;80,51;33
;;;;;"18 - 19 heures";"11,34%";12;56,56;21
;;;;;"19 - 20 heures";"11,68%";11;63,58;20
;;"02 Février 2015";"02/02/2015";"Total";;"100,00%";"--";"--";74
;;;;"Lundi";"Total";"100,00%";"--";"--";74
;;;;;"10 - 11 heures";"4,56%";3;34,13;5
;;;;;"11 - 12 heures";"12,31%";4;69,1;8
;;;;;"12 - 13 heures";"8,82%";3;66;6
;;;;;"13 - 14 heures";"12,40%";5;55,72;7
;;;;;"14 - 15 heures";"18,67%";6;69,91;9
;;;;;"15 - 16 heures";"19,42%";10;43,63;16
;;;;;"16 - 17 heures";"3,39%";3;25,39;6
;;;;;"17 - 18 heures";"7,92%";4;44,45;5
;;;;;"18 - 19 heures";"12,51%";6;46,84;12
;;"03 Février 2015";"03/02/2015";"Total";;"100,00%";"--";"--";93
;;;;"Mardi";"Total";"100,00%";"--";"--";93
;;;;;"11 - 12 heures";"11,00%";5;63,74;9
;;;;;"12 - 13 heures";"1,43%";1;41,4;1
;;;;;"13 - 14 heures";"9,50%";8;34,4;14
;;;;;"14 - 15 heures";"14,40%";6;69,5;12
;;;;;"15 - 16 heures";"21,90%";8;79,28;14
;;;;;"16 - 17 heures";"21,10%";8;76,39;22
;;;;;"17 - 18 heures";"9,87%";4;71,48;9
;;;;;"18 - 19 heures";"6,47%";5;37,5;7
;;;;;"19 - 20 heures";"4,33%";2;62,72;5
;;"04 Février 2015";"04/02/2015";"Total";;"100,00%";"--";"--";102
;;;;"Mercredi";"Total";"100,00%";"--";"--";102
;;;;;"10 - 11 heures";"10,93%";4;81,94;8
;;;;;"11 - 12 heures";"20,04%";7;85,87;21
;;;;;"12 - 13 heures";"1,95%";2;29,32;4
;;;;;"13 - 14 heures";"8,09%";4;60,7;7
;;;;;"14 - 15 heures";"6,94%";5;41,66;12
;;;;;"15 - 16 heures";"16,42%";7;70,36;13
;;;;;"16 - 17 heures";"12,91%";4;96,79;8
;;;;;"17 - 18 heures";"1,66%";3;16,62;3
;;;;;"18 - 19 heures";"14,75%";11;40,21;20
;;;;;"19 - 20 heures";"6,30%";1;189;6
;;"05 Février 2015";"05/02/2015";"Total";;"100,00%";"--";"--";82
;;;;"Jeudi";"Total";"100,00%";"--";"--";82
;;;;;"10 - 11 heures";"1,51%";1;40;1
;;;;;"11 - 12 heures";"29,20%";10;77,3;20
;;;;;"12 - 13 heures";"7,96%";4;52,67;9
;;;;;"13 - 14 heures";"12,76%";6;56,29;11
;;;;;"14 - 15 heures";"2,64%";1;70;2
;;;;;"15 - 16 heures";"6,38%";3;56,25;9
;;;;;"16 - 17 heures";"11,53%";5;61,04;13
;;;;;"17 - 18 heures";"13,88%";4;91,88;7
;;;;;"18 - 19 heures";"2,94%";2;38,88;2
;;;;;"19 - 20 heures";"14,41%";6;63,56;10
;;;;;"20 - 21 heures";"-3,22%";-1;85,12;-2
;;"06 Février 2015";"06/02/2015";"Total";;"100,00%";"--";"--";85
;;;;"Vendredi";"Total";"100,00%";"--";"--";85
;;;;;"10 - 11 heures";"8,75%";1;229;3
;;;;;"11 - 12 heures";"10,81%";5;56,59;10
;;;;;"12 - 13 heures";"6,26%";2;81,91;9
;;;;;"13 - 14 heures";"11,88%";5;62,16;8
;;;;;"14 - 15 heures";"13,06%";6;56,98;9
;;;;;"15 - 16 heures";"22,57%";8;73,84;18
